"f"	"REUG_right"	"REOG_65_right"	"REAG_55_right"	"REAG_65_right"	"REAG_80_right"	"REUG_left"	"REOG_65_left"	"REAG_55_left"	"REAG_65_left"	"REAG_80_left"
"1"	0	0	0	0	0	0	0	0	0	0	0
"2"	43	0	0	0	0	0	0	0	0	0	0
"3"	86	41.0387291276006	41.5492784108964	36.272273217369	47.9494340077728	53.2210179656561	40.6054091175483	41.2249424852295	36.1866138128591	48.2562802681609	52.0748096755348
"4"	129	46.5990092923333	47.0779441974148	38.423064347167	49.5734871433315	59.960522736144	47.5871861375319	48.0520152868384	38.9244447236995	50.1502913698056	60.4941723214154
"5"	172	49.5157406784161	49.9676724983785	40.3778937781282	50.7640038555088	63.6410492091164	52.8747631631436	53.4243263477533	43.367042495833	53.6415691405492	66.4640740891387
"6"	215	55.3777988771659	55.9126207907159	46.7642352300836	56.4712944594647	70.513982632803	54.7269635843655	55.4065665432519	46.0888886828841	55.7937440597786	69.4437600936102
"7"	258	57.2118554829076	57.5998495323159	48.5794669342801	58.0526125809758	71.5628694022687	54.4963372216234	54.8835363291718	46.4625822982347	55.9210258776953	69.3826828871164
"8"	301	50.55216117032	50.4157128549525	41.4821779881626	50.8751764141306	64.0503929050607	53.9913617614603	53.2290606612098	44.7941578650992	54.2523116867246	67.9158187304162
"9"	344	48.6620084708038	48.1583594884035	38.8761105394988	48.3380641459724	62.3192920854307	55.9831935815819	55.2070757473588	45.4508045276077	55.1389582851595	69.302379165452
"10"	387	53.1071274457889	53.0402311111179	43.081108371245	52.7043706208615	66.9737273236615	58.8878308658208	58.7191619883201	48.7194341666245	58.430623636672	72.5662752833283
"11"	430	56.998877006109	57.4134360598617	46.9899013494944	56.8745968292289	71.5079205101435	59.5045799673365	59.218546980245	49.0495013576419	58.8502392095879	73.2274510257644
"12"	473	58.4623290535045	58.6815564687287	48.6774132653888	58.5685426978134	73.1780555270525	58.9905594121253	58.3903948214104	48.1684163696293	58.3382549765371	73.0737777179411
"13"	516	57.6626652685936	57.659743617103	49.0883208682426	58.8369029893628	73.1889269751518	56.9610809119625	57.0377944339778	48.1259481484863	58.1555709207325	72.8923419454493
"14"	559	56.2613332363681	56.3504666143111	48.1850797492113	57.9469567305126	72.584231084031	55.6274615436647	56.6885375047833	47.457653237579	57.2808532446661	72.1637957757214
"15"	602	56.8579483921461	57.4187575733528	47.5720252053416	57.6618470527083	72.7185963976419	56.9034719963896	57.7693323823049	46.9415191329447	56.6616222986398	72.0144327258947
"16"	645	57.8673214497027	58.900840994746	47.5028567195555	57.7331842315937	73.2606417676581	57.2148920677682	58.1234506940392	47.1064254189932	56.6429612462183	72.7103582524715
"17"	688	58.6642871364271	59.7636621937877	48.5138163418495	58.4797852506587	74.3054498550049	56.5408031189422	58.0524481625061	47.2396213005744	56.6133513306694	73.2009524719281
"18"	731	55.073676788576	55.6394121824176	45.1817324947517	54.9595824817362	70.6755587898758	53.6294482682649	56.05210471352	44.8113285216682	54.3808160674194	70.9681623012027
"19"	774	55.0309705130459	55.3387101182284	44.6828885256358	54.3838253973972	69.9091973198555	51.7747267944311	54.7620094178042	42.668734249209	52.0031318091752	68.3866271827087
"20"	817	53.5116225279439	53.7743385483035	45.8065549360462	54.9642639627111	69.9474581980511	50.1730501728003	52.8435126230584	42.9560191105151	51.5043375062624	66.9511630617327
"21"	860	51.2764111701288	52.053165215511	45.9048425729209	55.0264363676093	70.4893659459844	49.0667487863345	51.3954150278857	43.3049147133208	52.1029646076495	67.4002797706224
"22"	903	49.931215175557	51.1906586639871	47.3802519083953	55.6873222956722	71.3369797804692	49.4938572843239	51.0569857107802	45.4643792177824	53.8655621896851	68.47817605133
"23"	946	50.6250573531546	51.1316504299158	48.6571283482342	56.2330042135615	71.2417514754097	50.2472331695041	50.1135289705007	47.1108184858657	54.5987492138962	68.273919574734
"24"	989	51.2649559283053	51.2271252752177	48.6752465303895	55.7177424436573	69.018067677542	51.3335285194005	50.371627434615	47.8677294000489	54.5509986293548	66.5672358823765
"25"	1032	52.3276349778045	51.8975898251284	52.1759761668221	59.6747048369149	71.8595742674719	51.9597730774259	51.1214371337737	51.0366272709211	57.4236672707096	68.7443846218357
